RK,SCHOOL,TOTAL REVENUE,TOTAL EXPENSES,TOTAL SUBSIDY,% SUBSIDY
1,Texas,"$165,691,486","$146,807,585",$0,0
2,Wisconsin,"$149,141,405","$146,659,187","$7,859,675",5.27
3,Alabama,"$143,776,550","$116,607,913","$5,791,200",4.03
4,Michigan,"$143,514,125","$131,018,311","$255,832",0.18
5,Ohio State,"$139,639,307","$116,026,329",$0,0
6,Florida,"$130,011,244","$106,972,983","$4,444,516",3.42
7,Oklahoma,"$123,805,661","$102,447,553",$0,0
8,LSU,"$117,457,398","$105,312,018",$0,0
9,Oregon,"$115,241,070","$94,972,708","$2,337,377",2.03
10,Tennessee,"$111,579,779","$110,269,194","$12,434,056",11.14
11,Iowa,"$107,153,782","$106,969,227","$678,842",0.63
12,Penn State,"$104,751,464","$110,737,200",$0,0
13,Auburn,"$103,680,609","$103,126,413","$4,315,584",4.16
14,Arkansas,"$99,770,840","$92,131,933","$2,027,439",2.03
15,Minnesota,"$98,286,669","$96,427,632","$8,101,066",8.24
16,Georgia,"$98,120,889","$96,904,626","$3,237,955",3.3
17,Michigan State,"$97,942,726","$93,743,529","$1,772,415",1.81
18,Louisville,"$96,193,330","$92,383,221","$10,914,122",11.35
19,Kentucky,"$95,720,724","$93,423,628","$847,079",0.88
20,California,"$94,487,380","$90,126,390","$7,567,235",8.01
21,Texas A&M,"$93,957,906","$85,114,588","$590,973",0.63
22,Oklahoma State,"$93,664,337","$96,551,860","$7,336,442",7.83
23,Kansas,"$93,114,168","$79,720,036","$2,870,626",3.08
24,Florida State,"$91,382,441","$84,772,759","$7,859,734",8.6
25,South Carolina,"$90,484,422","$89,097,412","$2,537,697",2.8
26,Nebraska,"$86,916,001","$81,666,269",$0,0
27,Washington,"$85,072,886","$76,209,927","$3,335,999",3.92
28,Virginia,"$84,402,710","$84,201,789","$13,119,353",15.54
29,UCLA,"$83,926,720","$83,926,720","$2,627,405",3.13
30,North Carolina,"$82,792,342","$82,735,139","$9,155,221",11.06
31,Illinois,"$79,725,521","$78,667,480","$3,913,032",4.91
32,Rutgers,"$78,989,475","$78,989,475","$46,996,697",59.5
33,West Virginia,"$77,706,698","$73,501,593","$4,461,487",5.74
34,Indiana,"$76,660,265","$72,597,053","$2,561,958",3.34
35,Missouri,"$76,306,889","$70,276,015","$1,515,000",1.99
36,Mississippi,"$73,390,050","$71,315,807","$3,831,598",5.22
37,Texas Tech,"$72,917,990","$66,296,446","$4,010,716",5.5
38,Purdue,"$72,379,392","$74,628,002",$0,0
39,Kansas State,"$70,457,283","$59,325,573","$2,486,258",3.53
40,Virginia Tech,"$70,030,484","$66,581,916","$7,888,739",11.26
41,Clemson,"$69,061,398","$67,091,087","$3,756,657",5.44
42,Arizona,"$68,510,915","$68,253,136","$7,326,902",10.69
43,North Carolina State,"$67,481,639","$63,137,393","$6,531,331",9.68
44,Arizona State,"$65,673,955","$65,600,187","$10,120,409",15.41
45,Oregon State,"$65,467,970","$64,185,065","$12,270,241",18.74
46,Nevada-Las Vegas,"$64,513,044","$63,672,024","$36,163,296",56.06
47,Maryland,"$63,714,470","$63,367,929","$15,469,285",24.28
48,Connecticut,"$63,336,022","$63,420,811","$18,860,823",29.78
49,Mississippi State,"$62,764,025","$57,362,224","$3,000,000",4.78
50,Iowa State,"$62,357,761","$62,224,194","$1,834,796",2.94
51,Cincinnati,"$61,915,431","$59,540,002","$21,754,860",35.14
52,Georgia Tech,"$61,780,812","$63,630,961","$7,147,389",11.57
53,Colorado,"$58,334,345","$66,327,497","$7,097,436",12.17
54,Washington State,"$47,191,240","$52,126,124","$6,515,694",13.81
55,Utah,"$46,855,283","$49,520,152","$10,239,500",21.85
56,Memphis,"$46,346,285","$46,501,314","$18,906,228",40.79
57,South Florida,"$45,066,258","$44,612,535","$17,703,771",39.28
58,New Mexico,"$44,345,840","$45,046,275","$15,343,104",34.6
59,Boise State,"$43,166,257","$43,292,010","$11,496,954",26.63
60,Houston,"$42,024,887","$42,664,044","$26,114,464",62.14
61,Central Florida,"$41,222,301","$41,981,093","$22,857,979",55.45
62,San Diego State,"$39,211,827","$42,849,323","$17,579,724",44.83
63,Air Force,"$39,031,348","$39,497,086","$25,529,155",65.41
64,Army,"$37,289,204","$27,898,527","$11,199,801",30.03
65,Hawaii,"$37,017,100","$40,357,387","$14,855,249",40.13
66,Old Dominion,"$36,929,483","$35,561,455","$27,089,358",73.35
67,James Madison,"$36,072,842","$36,072,842","$28,428,737",78.81
68,East Carolina,"$35,805,232","$36,639,494","$14,969,516",41.81
69,Colorado State,"$34,791,926","$34,468,927","$18,013,943",51.78
70,Delaware,"$33,750,927","$33,750,927","$26,117,411",77.38
71,Fresno State,"$33,734,773","$33,050,314","$13,039,903",38.65
72,New Mexico State,"$30,105,460","$28,484,118","$19,675,074",65.35
73,Massachusetts,"$30,060,635","$30,731,842","$24,354,427",81.02
74,Texas State,"$29,764,777","$27,690,963","$21,033,289",70.67
75,Wyoming,"$29,647,103","$29,731,941","$15,875,467",53.55
76,Texas-El Paso,"$29,017,848","$28,964,808","$14,818,397",51.07
77,Buffalo,"$28,964,050","$28,960,127","$22,090,445",76.27
78,North Texas,"$28,800,436","$28,926,470","$17,628,426",61.21
79,Miami (Ohio),"$28,705,691","$28,926,951","$19,434,039",67.7
80,Western Michigan,"$28,624,348","$28,630,285","$21,260,585",74.27
81,Florida International,"$28,332,261","$26,275,579","$21,969,608",77.54
82,California-Davis,"$28,240,711","$28,881,026","$22,186,230",78.56
83,Alabama at Birmingham,"$28,159,249","$27,544,633","$18,070,530",64.17
84,Akron,"$27,954,164","$28,407,737","$20,769,486",74.3
85,Eastern Michigan,"$27,797,656","$27,797,656","$22,364,722",80.46
86,Central Michigan,"$27,680,624","$27,187,504","$18,572,824",67.1
87,Middle Tennessee State,"$27,667,552","$28,716,516","$19,613,161",70.89
88,Western Kentucky,"$27,606,401","$27,607,401","$16,414,010",59.46
89,Marshall,"$27,587,274","$28,337,108","$14,462,623",52.42
90,Ohio,"$27,265,061","$27,027,550","$18,061,353",66.24
91,Georgia State,"$26,721,964","$27,261,115","$22,603,029",84.59
92,North Carolina Charlotte,"$26,681,829","$26,122,465","$18,667,994",69.97
93,Nevada,"$26,627,415","$27,274,229","$10,900,404",40.94
94,Kent State,"$26,557,674","$27,116,813","$20,558,816",77.41
95,Virginia Commonwealth,"$26,515,057","$25,839,126","$18,134,851",68.39
96,New Hampshire,"$26,299,884","$25,808,269","$18,294,051",69.56
97,Northern Illinois,"$26,259,284","$25,294,053","$17,572,444",66.92
98,San Jose State,"$25,854,038","$24,440,274","$17,573,218",67.97
99,Stony Brook,"$25,122,216","$25,144,617","$19,783,537",78.75
100,Rhode Island,"$24,890,223","$23,689,560","$18,374,422",73.82
101,Florida Atlantic,"$24,538,411","$21,967,412","$16,590,468",67.61
102,Texas-San Antonio,"$23,807,953","$24,891,193","$14,559,322",61.15
103,Utah State,"$23,684,266","$24,307,048","$13,690,026",57.8
104,Wichita State,"$23,643,249","$24,132,710","$6,520,676",27.58
105,Bowling Green,"$23,611,448","$20,701,488","$14,316,811",60.64
106,Toledo,"$23,054,218","$23,654,141","$11,149,815",48.36
107,Towson,"$22,831,747","$19,969,363","$18,765,410",82.19
108,Southern Mississippi,"$22,776,416","$22,399,056","$9,802,774",43.04
109,Coastal Carolina,"$22,314,234","$22,190,005","$18,346,325",82.22
110,George Mason,"$22,262,650","$22,143,733","$18,685,650",83.93
111,North Dakota,"$22,160,308","$22,077,150","$10,976,023",49.53
112,Ball State,"$21,315,999","$22,727,145","$15,946,549",74.81
113,William & Mary,"$21,303,128","$21,244,506","$11,989,354",56.28
114,South Alabama,"$21,115,562","$19,830,068","$16,525,156",78.26
115,California Polytechnic,"$21,018,795","$20,483,456","$15,972,717",75.99
116,Southern Illinois,"$20,161,644","$23,008,969","$13,134,398",65.15
117,Montana,"$20,016,689","$19,246,333","$8,588,502",42.91
118,Appalachian State,"$19,775,727","$21,395,675","$10,351,540",52.34
119,Idaho,"$19,593,192","$19,719,585","$9,295,270",47.44
120,Troy,"$19,505,723","$19,505,723","$12,857,258",65.92
121,Sacramento State,"$19,410,172","$19,214,711","$15,187,531",78.25
122,Illinois State,"$19,336,145","$19,567,197","$12,743,793",65.91
123,Maine,"$18,923,542","$18,874,083","$12,790,924",67.59
124,North Dakota State,"$18,861,510","$18,702,969","$7,806,202",41.39
125,Louisiana Tech,"$18,570,493","$18,444,386","$9,214,682",49.62
126,Vermont,"$18,140,000","$18,351,709","$13,055,957",71.97
127,Louisiana-Lafayette,"$18,114,361","$18,652,324","$7,680,055",42.4
128,Montana State,"$17,945,638","$17,963,217","$10,423,452",58.08
129,Northern Iowa,"$16,907,073","$16,771,459","$7,994,868",47.29
130,Albany,"$16,378,689","$16,378,689","$13,549,734",82.73
131,Arkansas State,"$16,281,038","$16,281,038","$9,323,491",57.27
132,College of Charleston,"$15,849,270","$17,400,040","$12,079,978",76.22
133,California-Riverside,"$15,829,265","$16,006,591","$14,069,383",88.88
134,Maryland-Baltimore Cty,"$15,583,672","$15,299,250","$13,800,160",88.56
135,Long Beach State,"$15,514,877","$15,509,188","$10,565,246",68.1
136,Missouri State,"$15,495,062","$15,495,062","$8,451,702",54.54
137,Lamar,"$15,414,996","$15,239,395","$12,315,780",79.89
138,Murray State,"$15,370,172","$15,107,816","$10,927,207",71.09
139,California-Irvine,"$15,221,850","$15,304,005","$12,298,970",80.8
140,South Dakota State,"$15,148,816","$15,079,750","$7,685,225",50.73
141,Tennessee-Chattanooga,"$14,779,261","$14,779,261","$11,050,995",74.77
142,Illinois-Chicago,"$14,767,012","$14,555,722","$11,237,790",76.1
143,Sam Houston State,"$14,688,326","$12,833,082","$9,951,122",67.75
144,North Carolina Greensboro,"$14,672,177","$14,966,482","$12,336,033",84.08
145,East Tennessee State,"$14,537,258","$14,771,029","$11,342,419",78.02
146,Tennessee Tech,"$14,490,902","$13,079,750","$10,804,881",74.56
147,Central Conn State,"$14,433,587","$14,287,945","$12,417,886",86.03
148,California-Santa Barbara,"$14,378,732","$15,708,702","$12,019,964",83.6
149,Binghamton,"$14,254,734","$14,459,595","$11,401,072",79.98
150,Alabama State,"$14,145,373","$14,145,373","$12,174,670",86.07
151,Youngstown State,"$13,632,988","$13,632,988","$9,985,370",73.24
152,Stephen F. Austin,"$13,534,926","$13,611,753","$11,234,621",83
153,New Jersey Tech,"$13,479,999","$11,737,782","$11,389,060",84.49
154,Portland State,"$13,408,148","$13,687,793","$9,659,933",72.05
155,Citadel,"$13,393,117","$13,247,154","$9,259,116",69.13
156,Jacksonville State,"$13,354,125","$12,619,261","$9,182,160",68.76
157,Wisconsin-Milwaukee,"$13,278,301","$13,421,922","$10,823,308",81.51
158,Georgia Southern,"$13,200,750","$13,200,750","$8,320,670",63.03
159,Eastern Illinois,"$13,195,645","$13,290,957","$9,569,951",72.52
160,Delaware State,"$13,036,497","$12,696,251","$11,114,182",85.25
161,Northern Arizona,"$12,834,870","$12,814,432","$9,520,351",74.18
162,Indiana State,"$12,761,811","$12,578,396","$9,518,604",74.59
163,Oakland,"$12,720,263","$12,984,095","$10,070,776",79.17
164,Tennessee State,"$12,705,170","$12,490,574","$9,731,915",76.6
165,Nebraska-Omaha,"$12,702,133","$12,702,133","$7,931,972",62.45
166,North Carolina A&T,"$12,535,926","$12,265,815","$9,340,891",74.51
167,Kennesaw State,"$12,525,557","$13,931,038","$10,731,979",85.68
168,Winthrop,"$12,453,952","$12,264,698","$10,615,257",85.24
169,Norfolk State,"$12,449,812","$14,152,218","$10,001,421",80.33
170,Weber State,"$12,340,926","$12,285,592","$8,194,660",66.4
171,Northern Colorado,"$12,192,974","$12,238,351","$8,380,645",68.73
172,Radford,"$12,180,124","$11,600,355","$10,771,012",88.43
173,Florida Gulf Coast,"$12,118,558","$11,775,352","$8,815,838",72.75
174,Florida A&M,"$12,045,099","$11,689,605","$6,530,814",54.22
175,Eastern Kentucky,"$11,938,695","$11,938,695","$9,378,024",78.55
176,Northwestern State La,"$11,767,380","$12,339,549","$7,615,219",64.71
177,Idaho State,"$11,677,809","$11,547,220","$7,421,156",63.55
178,Western Illinois,"$11,655,872","$12,094,058","$9,015,057",77.34
179,North Carolina Wilmington,"$11,508,302","$11,292,111","$8,513,874",73.98
180,California State-Northridge,"$11,484,117","$11,368,128","$10,011,132",87.17
181,Eastern Washington,"$11,469,560","$11,538,027","$8,237,849",71.82
182,California State-Fullerton,"$11,431,787","$11,431,787","$8,857,839",77.48
183,Texas-Arlington,"$11,411,262","$13,970,673","$9,731,470",85.28
184,Cleveland State,"$11,290,814","$11,290,814","$9,624,278",85.24
185,Western Carolina,"$11,244,361","$11,387,194","$7,672,001",68.23
186,Missouri-Kansas City,"$11,235,112","$12,505,431","$9,503,581",84.59
187,Louisiana-Monroe,"$11,231,311","$11,439,382","$4,102,322",36.53
188,Northern Kentucky,"$11,183,718","$11,183,718","$9,304,768",83.2
189,Southern Utah,"$11,116,704","$10,639,948","$8,280,344",74.49
190,California State-Bakersfield,"$11,087,482","$10,250,465","$7,423,916",66.96
191,VMI,"$11,059,752","$11,615,757","$4,250,911",38.44
192,South Dakota,"$11,026,009","$11,022,253","$7,297,727",66.19
193,Southeastern Louisiana,"$10,922,554","$10,920,225","$6,535,265",59.83
194,Central Arkansas,"$10,769,990","$10,405,098","$7,670,617",71.22
195,Austin Peay,"$10,664,764","$9,854,277","$7,339,194",68.82
196,Prairie View A&M,"$10,427,016","$10,548,492","$8,218,661",78.82
197,Morehead State,"$10,192,319","$10,192,319","$8,680,040",85.16
198,Texas Southern,"$10,188,987","$10,188,987","$9,096,448",89.28
199,Wright State,"$10,173,926","$10,852,077","$7,766,218",76.33
200,South Carolina State,"$10,133,673","$10,136,350","$6,809,371",67.2
201,Utah Valley,"$10,053,547","$9,714,656","$8,905,467",88.58
202,Southeast Missouri State,"$9,939,846","$9,953,030","$7,282,542",73.27
203,Texas A&M-Corpus Christi,"$9,926,048","$9,819,838","$8,084,830",81.45
204,McNeese State,"$9,704,926","$10,307,780","$4,492,235",46.29
205,North Florida,"$9,541,774","$9,285,469","$7,416,955",77.73
206,Arkansas-Little Rock,"$9,403,112","$9,015,885","$6,147,811",65.38
207,Morgan State,"$9,299,310","$9,986,863","$7,869,413",84.62
208,North Carolina Central,"$9,169,868","$9,147,577","$6,880,877",75.04
209,Tennessee-Martin,"$9,087,815","$9,087,815","$6,849,522",75.37
210,Longwood,"$9,060,169","$9,326,777","$7,899,544",87.19
211,Alcorn State,"$8,926,041","$6,042,709","$7,501,398",84.04
212,Texas-Pan American,"$8,844,062","$8,638,656","$7,224,283",81.69
213,Southern,"$8,766,440","$7,687,619","$4,746,048",54.14
214,Wisconsin-Green Bay,"$8,196,869","$8,075,346","$4,902,120",59.8
215,Southern Illinois Edwardsville,"$8,018,927","$7,718,661","$6,484,138",80.86
216,Indiana-Purdue Fort Wayne,"$7,878,962","$7,546,796","$6,104,406",77.48
217,Savannah State,"$7,505,272","$6,592,913","$5,674,950",75.61
218,Alabama A&M,"$7,349,658","$7,349,658","$5,396,160",73.42
219,Indiana-Purdue Indianapolis,"$7,308,438","$7,277,608","$6,443,593",88.17
220,Arkansas-Pine Bluff,"$7,096,374","$7,318,876","$5,506,001",77.59
221,Nicholls State,"$6,962,130","$6,955,658","$4,221,728",60.64
222,South Carolina Upstate,"$6,954,621","$7,325,865","$6,020,233",86.56
223,Chicago State,"$6,617,545","$5,664,694","$6,228,485",94.12
224,Jackson State,"$6,411,728","$6,411,728","$3,759,290",58.63
225,Grambling State,"$6,276,068","$7,846,537","$3,633,769",57.9
